Acceleration,Sprint Speed,Agility,Balance,Jumping,Stamina,Strength,Position,Preferred foot,Height,Weight,Alternative positions,Age
90,88,87,84,77,81,59,RW,Right,"174cm / 5'9""",64kg / 141lb,"ST, RM",23
86,77,79,78,80,88,62,LB,Right,"182cm / 6'0""",74kg / 163lb,"RB, RM",30
94,94,85,84,90,75,83,LW,Right,"188cm / 6'2""",81kg / 179lb,"LM, ST",25
77,71,84,86,73,90,63,LM,Left,"171cm / 5'7""",68kg / 150lb,"LB, LW",28
75,69,92,92,67,76,58,CM,Right,"172cm / 5'8""",66kg / 146lb,"CAM, CDM",39
71,67,82,83,72,87,69,CM,Right,"176cm / 5'9""",72kg / 159lb,CDM,25
82,81,78,84,85,84,74,RB,Right,"173cm / 5'8""",73kg / 161lb,,32
94,91,94,81,65,69,52,RW,Left,"178cm / 5'10""",67kg / 148lb,"CAM, RM",27
72,78,73,72,75,89,68,RB,Right,"180cm / 5'11""",72kg / 159lb,,25
79,76,88,90,73,87,73,CM,Right,"174cm / 5'9""",60kg / 132lb,LW,21
53,86,49,40,86,69,92,CB,Right,"195cm / 6'5""",94kg / 207lb,,28
76,77,77,72,84,80,81,ST,Right,"185cm / 6'1""",81kg / 179lb,,36
78,86,65,67,94,75,89,CB,Right,"187cm / 6'2""",84kg / 185lb,,27
77,62,83,84,79,88,68,RB,Right,"177cm / 5'10""",75kg / 165lb,"CDM, CM",29
48,50,37,47,74,44,76,GK,Right,"190cm / 6'3""",89kg / 196lb,,27
48,50,51,35,77,43,80,GK,Right,"193cm / 6'4""",93kg / 205lb,,38
74,68,83,80,76,81,72,CDM,Right,"178cm / 5'10""",69kg / 152lb,CM,30
78,79,76,78,86,73,78,CB,Left,"180cm / 5'11""",78kg / 172lb,LB,32
76,86,56,55,92,72,87,CB,Right,"188cm / 6'2""",79kg / 174lb,RB,25
69,72,83,83,69,85,72,CAM,Right,"185cm / 6'1""",83kg / 183lb,"RM, CM",28
81,88,70,62,91,85,79,CB,Right,"186cm / 6'1""",78kg / 172lb,,26
69,68,78,84,77,88,79,CDM,Right,"182cm / 6'0""",74kg / 163lb,CM,26
83,87,80,69,88,78,77,ST,Right,"192cm / 6'4""",77kg / 170lb,,24
79,74,78,93,73,82,72,CDM,Right,"168cm / 5'6""",70kg / 154lb,CM,33
85,83,71,74,90,78,80,RB,Right,"180cm / 5'11""",75kg / 165lb,CB,25
85,86,86,75,78,77,70,LW,Right,"183cm / 6'0""",70kg / 154lb,"RW, LM",23
75,69,91,88,66,81,59,CM,Right,"172cm / 5'8""",64kg / 141lb,CDM,24
77,66,84,83,57,78,53,CAM,Right,"175cm / 5'9""",73kg / 161lb,RM,27
83,76,91,90,71,79,58,RM,Left,"179cm / 5'10""",67kg / 148lb,RW,33
48,48,40,26,71,45,74,GK,Left,"199cm / 6'6""",88kg / 194lb,,23
72,72,74,73,88,83,80,CM,Left,"189cm / 6'2""",83kg / 183lb,CAM,28
62,66,62,63,88,92,90,CM,Right,"192cm / 6'4""",95kg / 209lb,CDM,29
94,92,82,85,93,79,80,ST,Right,"177cm / 5'10""",75kg / 165lb,,24
54,50,51,50,84,87,90,CDM,Right,"190cm / 6'3""",83kg / 183lb,CM,29
73,77,78,75,71,78,61,RM,Left,"189cm / 6'2""",74kg / 163lb,"CAM, RW",22
79,78,75,74,76,93,67,LB,Left,"178cm / 5'10""",64kg / 141lb,,30
89,91,87,82,72,78,67,RM,Left,"183cm / 6'0""",80kg / 176lb,"LM, RW",28
78,76,68,64,91,74,84,CB,Left,"191cm / 6'3""",86kg / 190lb,,24
68,69,68,67,84,74,77,CB,Right,"188cm / 6'2""",76kg / 168lb,"CDM, RB",30
74,72,72,70,84,83,82,CDM,Right,"188cm / 6'2""",82kg / 181lb,"CM, CB",24
85,80,86,87,91,80,75,ST,Right,"178cm / 5'10""",70kg / 154lb,LW,27
81,86,81,83,84,80,82,CDM,Right,"181cm / 5'11""",79kg / 174lb,CM,24
79,89,79,76,91,88,82,ST,Right,"180cm / 5'11""",70kg / 154lb,,28
94,93,92,84,78,81,60,LM,Right,"181cm / 5'11""",67kg / 148lb,"RM, LW",22
61,59,38,33,86,68,85,CB,Left,"192cm / 6'4""",88kg / 194lb,,36
76,80,66,54,90,71,86,CB,Right,"187cm / 6'2""",91kg / 201lb,,29
77,75,67,68,88,71,78,CB,Left,"180cm / 5'11""",75kg / 165lb,LB,29
86,85,87,87,83,85,70,ST,Right,"170cm / 5'7""",71kg / 157lb,CAM,24
78,83,84,72,80,69,61,ST,Left,"176cm / 5'9""",67kg / 148lb,,37
38,37,47,29,66,43,69,GK,Left,"195cm / 6'5""",78kg / 172lb,,33
92,93,90,84,76,84,70,RW,Right,"175cm / 5'9""",70kg / 154lb,"LW, ST, RM",26
92,87,91,84,79,68,66,LM,Right,"181cm / 5'11""",75kg / 165lb,"RM, LW",28
59,55,64,73,66,80,74,CDM,Right,"180cm / 5'11""",83kg / 183lb,CM,27
54,68,52,62,86,64,91,CB,Right,"189cm / 6'2""",89kg / 196lb,,25
77,76,78,78,77,92,78,CM,Right,"180cm / 5'11""",70kg / 154lb,CDM,30
90,91,88,79,83,86,65,RW,Left,"176cm / 5'9""",68kg / 150lb,"LW, RM",27
91,90,88,77,80,87,69,LW,Right,"180cm / 5'11""",73kg / 161lb,"RW, LM",27
83,78,80,84,82,85,78,LB,Left,"174cm / 5'9""",76kg / 168lb,LM,26
81,86,74,72,95,75,86,ST,Left,"189cm / 6'2""",78kg / 172lb,,27
96,91,91,90,73,85,58,RM,Right,"172cm / 5'8""",65kg / 143lb,"RB, RW",23
68,66,76,85,65,78,65,CM,Right,"173cm / 5'8""",68kg / 150lb,CDM,27
78,75,84,85,70,83,71,LW,Right,"180cm / 5'11""",81kg / 179lb,LM,29
66,71,67,77,87,71,85,ST,Right,"187cm / 6'2""",82kg / 181lb,,28
88,92,77,77,95,93,91,ST,Right,"187cm / 6'2""",90kg / 198lb,LW,26
89,93,81,77,82,92,72,RB,Right,"181cm / 5'11""",73kg / 161lb,,25
38,44,43,39,60,34,55,GK,Right,"192cm / 6'4""",85kg / 187lb,,34
66,85,43,33,82,74,90,CB,Right,"186cm / 6'1""",93kg / 205lb,,33
82,83,86,90,86,79,72,LM,Right,"174cm / 5'9""",69kg / 152lb,"RM, ST, LW",32
74,68,77,82,84,75,79,CB,Left,"178cm / 5'10""",77kg / 170lb,,26
33,39,42,35,61,28,63,GK,Right,"192cm / 6'4""",84kg / 185lb,,24
88,89,80,79,90,89,84,LB,Left,"180cm / 5'11""",73kg / 161lb,,29
82,81,88,90,77,75,67,CAM,Right,"177cm / 5'10""",68kg / 150lb,ST,26
78,69,86,87,60,66,54,CAM,Right,"179cm / 5'10""",72kg / 159lb,CM,26
71,68,78,79,73,78,67,CM,Right,"178cm / 5'10""",69kg / 152lb,CDM,25
74,76,71,70,88,84,80,CB,Right,"186cm / 6'1""",81kg / 179lb,RB,28
40,46,70,40,68,42,73,GK,Right,"192cm / 6'4""",79kg / 174lb,,29
67,68,67,64,86,71,83,CB,Right,"185cm / 6'1""",79kg / 174lb,,26
78,74,78,78,72,85,76,CM,Right,"178cm / 5'10""",76kg / 168lb,"CAM, CDM",30
35,40,48,51,75,73,84,CDM,Right,"185cm / 6'1""",84kg / 185lb,CM,32
54,49,56,38,67,38,60,GK,Right,"194cm / 6'4""",76kg / 168lb,,27
76,79,63,53,92,77,87,ST,Left,"190cm / 6'3""",75kg / 165lb,,24
84,93,66,69,87,81,80,RB,Right,"183cm / 6'0""",83kg / 183lb,,34
70,75,68,61,83,83,78,RB,Right,"185cm / 6'1""",77kg / 170lb,CB,26
75,74,82,90,79,90,82,LB,Left,"172cm / 5'8""",69kg / 152lb,LM,32
59,50,63,59,80,77,84,CDM,Right,"186cm / 6'1""",85kg / 187lb,"CM, CB",29
81,74,86,89,77,78,69,CDM,Left,"175cm / 5'9""",70kg / 154lb,"CM, CAM",26
80,79,92,86,73,76,61,RW,Left,"183cm / 6'0""",72kg / 159lb,RM,30
81,80,82,81,82,84,79,CM,Left,"182cm / 6'0""",68kg / 150lb,"CDM, LB",21
87,88,86,70,74,76,63,LW,Right,"181cm / 5'11""",73kg / 161lb,LM,31
56,76,61,61,80,73,78,CB,Right,"187cm / 6'2""",82kg / 181lb,CDM,28
63,61,60,60,82,67,78,CB,Right,"189cm / 6'2""",78kg / 172lb,,32
78,74,88,74,69,69,61,RM,Left,"180cm / 5'11""",69kg / 152lb,"CAM, RW",36
95,95,92,93,57,82,34,RM,Left,"170cm / 5'7""",67kg / 148lb,"ST, CAM, RW",25
80,84,67,39,93,83,79,ST,Left,"188cm / 6'2""",78kg / 172lb,,27
94,93,90,88,62,84,40,CAM,Right,"172cm / 5'8""",66kg / 146lb,ST,31
84,81,75,67,91,76,78,ST,Right,"189cm / 6'2""",76kg / 168lb,LW,25
70,71,56,57,88,71,85,CB,Right,"185cm / 6'1""",79kg / 174lb,,29
42,48,55,53,84,61,93,ST,Left,"193cm / 6'4""",91kg / 201lb,,37
73,68,74,73,86,78,89,CM,Right,"189cm / 6'2""",82kg / 181lb,CDM,29
80,79,68,67,90,79,83,LB,Left,"185cm / 6'1""",80kg / 176lb,CB,22
74,79,75,54,86,77,75,ST,Left,"193cm / 6'4""",82kg / 181lb,CM,25
70,78,69,69,85,66,78,CB,Left,"184cm / 6'0""",79kg / 174lb,LB,28
66,69,68,71,87,71,79,ST,Right,"181cm / 5'11""",79kg / 174lb,,31
74,78,65,65,84,76,86,CB,Right,"190cm / 6'3""",81kg / 179lb,,27
69,80,55,34,83,71,90,CB,Right,"194cm / 6'4""",95kg / 209lb,,25
64,67,66,70,77,87,75,CM,Left,"183cm / 6'0""",77kg / 170lb,CAM,26
75,64,86,84,63,75,66,CM,Right,"177cm / 5'10""",80kg / 176lb,CDM,30
82,79,76,77,80,81,71,CDM,Right,"180cm / 5'11""",72kg / 159lb,"CM, RB",27
50,59,57,54,81,68,82,CB,Left,"189cm / 6'2""",85kg / 187lb,,30
58,66,41,51,86,70,86,CB,Right,"187cm / 6'2""",81kg / 179lb,,27
87,91,83,68,84,91,77,RM,Right,"184cm / 6'0""",74kg / 163lb,"RB, CM, RW",29
61,67,65,60,74,90,76,CDM,Right,"185cm / 6'1""",75kg / 165lb,CM,26
93,86,87,86,84,77,72,RM,Right,"176cm / 5'9""",68kg / 150lb,"ST, LM, RW",25
91,88,87,81,82,82,63,LW,Right,"178cm / 5'10""",75kg / 165lb,"RW, LM",23
80,77,85,83,79,85,72,CM,Right,"177cm / 5'10""",75kg / 165lb,CAM,35
81,83,74,63,94,79,81,ST,Right,"190cm / 6'3""",84kg / 185lb,,31
77,77,77,72,87,77,73,ST,Left,"180cm / 5'11""",77kg / 170lb,"RW, CAM",32
62,60,66,53,79,40,78,GK,Right,"190cm / 6'3""",93kg / 205lb,,28
50,65,48,52,90,58,85,CB,Right,"186cm / 6'1""",87kg / 192lb,,31
77,75,86,90,62,84,58,CM,Right,"173cm / 5'8""",70kg / 154lb,LW,20
53,51,60,74,67,71,70,CM,Right,"182cm / 6'0""",74kg / 163lb,CDM,35
79,79,79,82,83,87,74,CAM,Right,"186cm / 6'1""",77kg / 170lb,CM,28
80,76,85,87,72,84,62,LW,Right,"173cm / 5'8""",77kg / 170lb,"CAM, CM, LM",26
57,47,57,55,75,42,72,GK,Left,"185cm / 6'1""",77kg / 170lb,,30
50,47,36,42,71,37,75,GK,Right,"199cm / 6'6""",76kg / 168lb,,32
80,84,80,71,79,91,71,RB,Right,"173cm / 5'8""",69kg / 152lb,,25
44,40,38,44,65,28,56,GK,Right,"192cm / 6'4""",84kg / 185lb,,30
91,85,90,86,69,76,54,RW,Right,"177cm / 5'10""",69kg / 152lb,"RM, LW",25
64,46,68,45,62,31,38,GK,Right,"183cm / 6'0""",75kg / 165lb,,28
70,68,70,81,74,85,75,CDM,Right,"176cm / 5'9""",75kg / 165lb,CM,32
55,47,47,45,77,76,80,CDM,Right,"185cm / 6'1""",80kg / 176lb,CM,29
65,64,52,54,86,68,83,CB,Left,"185cm / 6'1""",75kg / 165lb,,29
86,77,90,87,69,83,63,CAM,Right,"179cm / 5'10""",61kg / 134lb,LW,21
69,64,74,75,74,80,74,CM,Right,"175cm / 5'9""",66kg / 146lb,CDM,26
65,63,72,82,76,84,80,LM,Left,"181cm / 5'11""",76kg / 168lb,LW,35
73,76,66,64,83,69,83,CB,Right,"192cm / 6'4""",84kg / 185lb,,25
91,88,82,84,86,81,73,LB,Left,"180cm / 5'11""",70kg / 154lb,,22
84,89,78,66,94,83,88,ST,Right,"192cm / 6'4""",80kg / 176lb,,27
81,87,74,71,92,71,81,CB,Right,"185cm / 6'1""",79kg / 174lb,,26
80,73,87,90,76,92,73,CDM,Right,"166cm / 5'5""",60kg / 132lb,CM,28
71,64,66,79,79,85,64,RB,Right,"173cm / 5'8""",71kg / 157lb,,33
87,77,92,85,75,76,57,LW,Right,"171cm / 5'7""",67kg / 148lb,"ST, LM",29
85,85,83,72,64,77,53,RM,Left,"178cm / 5'10""",72kg / 159lb,"CM, CAM, RW",26
90,85,93,87,79,75,63,LW,Right,"177cm / 5'10""",63kg / 139lb,"CAM, LM",29
75,71,67,59,95,78,95,ST,Right,"188cm / 6'2""",92kg / 203lb,,33
68,65,79,84,63,67,55,CAM,Right,"176cm / 5'9""",79kg / 174lb,"LM, CM",32
70,81,68,66,90,88,90,CM,Right,"186cm / 6'1""",81kg / 179lb,LW,28
86,87,91,80,62,89,52,CAM,Right,"173cm / 5'8""",72kg / 159lb,"RM, LM",27
80,87,70,67,83,62,70,ST,Right,"187cm / 6'2""",80kg / 176lb,,35
93,87,91,88,76,68,61,RM,Left,"178cm / 5'10""",77kg / 170lb,"ST, RW",27
37,41,45,43,66,39,69,GK,Right,"187cm / 6'2""",82kg / 181lb,,34
70,75,68,60,88,67,90,ST,Right,"190cm / 6'3""",91kg / 201lb,,23
49,69,51,34,83,70,90,CB,Left,"193cm / 6'4""",81kg / 179lb,,24
79,76,79,81,85,83,66,RM,Left,"175cm / 5'9""",70kg / 154lb,"ST, RW",27
68,65,79,84,75,93,71,CDM,Right,"181cm / 5'11""",72kg / 159lb,CM,31
77,73,76,79,76,84,72,CDM,Right,"178cm / 5'10""",73kg / 161lb,CM,22
67,86,69,74,88,80,86,CDM,Right,"186cm / 6'1""",86kg / 190lb,CB,30
24,39,40,25,58,28,55,GK,Right,"191cm / 6'3""",83kg / 183lb,,24
44,46,50,43,69,44,72,GK,Left,"197cm / 6'6""",86kg / 190lb,,32
71,73,75,76,78,82,77,LM,Left,"180cm / 5'11""",72kg / 159lb,"CAM, LW",27
86,85,90,89,82,84,68,ST,Right,"171cm / 5'7""",70kg / 154lb,RM,29
78,73,82,83,76,88,67,LB,Left,"173cm / 5'8""",67kg / 148lb,,26
70,80,63,66,85,69,80,CB,Right,"184cm / 6'0""",78kg / 172lb,RB,33
81,76,85,83,75,86,62,CAM,Right,"171cm / 5'7""",67kg / 148lb,"RM, CM",29
84,86,76,71,88,83,75,RB,Right,"183cm / 6'0""",76kg / 168lb,LB,25
78,79,84,75,78,84,75,CM,Right,"180cm / 5'11""",71kg / 157lb,"CAM, CDM",30
96,95,85,83,86,80,75,LB,Left,"185cm / 6'1""",77kg / 170lb,LM,23
82,84,76,78,85,87,77,RB,Right,"183cm / 6'0""",82kg / 181lb,RM,31
85,85,89,91,60,68,55,CAM,Right,"170cm / 5'7""",68kg / 150lb,"RW, LW",25
77,87,69,61,94,89,89,RB,Right,"188cm / 6'2""",80kg / 176lb,RM,28
53,60,62,55,77,68,84,ST,Right,"193cm / 6'4""",80kg / 176lb,,38
70,68,75,77,74,82,73,CM,Right,"178cm / 5'10""",78kg / 172lb,CDM,23
69,77,65,76,84,79,79,CB,Right,"180cm / 5'11""",76kg / 168lb,"LB, RB",34
86,81,92,90,88,81,72,ST,Right,"175cm / 5'9""",73kg / 161lb,,27
54,39,67,72,63,79,66,CDM,Right,"178cm / 5'10""",68kg / 150lb,CM,32
66,73,64,52,85,78,78,CB,Left,"191cm / 6'3""",80kg / 176lb,,27
63,63,64,67,89,68,86,ST,Right,"188cm / 6'2""",83kg / 183lb,,31
79,82,82,80,73,86,67,LB,Left,"172cm / 5'8""",66kg / 146lb,,29
57,56,65,60,66,42,55,GK,Right,"196cm / 6'5""",90kg / 198lb,,32
54,54,54,50,83,57,84,CB,Right,"189cm / 6'2""",87kg / 192lb,,30
84,77,85,88,68,66,69,RM,Right,"176cm / 5'9""",77kg / 170lb,"ST, LM, RW",29
89,92,79,70,75,87,61,LW,Right,"183cm / 6'0""",72kg / 159lb,LM,23
78,51,90,90,50,79,49,LB,Left,"170cm / 5'7""",71kg / 157lb,CM,30
42,44,41,42,72,37,74,GK,Right,"191cm / 6'3""",86kg / 190lb,,34
51,64,61,62,75,85,80,CDM,Right,"188cm / 6'2""",78kg / 172lb,CM,30
66,63,68,69,83,80,81,CDM,Right,"184cm / 6'0""",77kg / 170lb,CM,26
74,72,79,78,66,87,66,CAM,Right,"176cm / 5'9""",72kg / 159lb,ST,32
80,83,73,83,86,69,73,ST,Right,"185cm / 6'1""",85kg / 187lb,,34
76,79,72,88,88,67,88,RB,Right,"179cm / 5'10""",91kg / 201lb,,24
64,68,66,65,79,81,80,CDM,Right,"184cm / 6'0""",68kg / 150lb,CM,24
77,80,70,77,85,93,88,CDM,Right,"183cm / 6'0""",74kg / 163lb,CM,27
90,90,84,73,90,73,74,ST,Right,"187cm / 6'2""",73kg / 161lb,,25
84,85,76,79,80,88,77,LM,Left,"184cm / 6'0""",84kg / 185lb,"LB, LW",31
92,88,86,92,74,79,76,RM,Left,"177cm / 5'10""",70kg / 154lb,"CAM, LM, RW",24
76,74,75,69,75,90,80,RM,Left,"186cm / 6'1""",80kg / 176lb,"RW, CAM",24
68,72,80,83,83,68,79,ST,Right,"175cm / 5'9""",73kg / 161lb,,33
49,42,40,50,68,40,65,GK,Right,"186cm / 6'1""",83kg / 183lb,,31
54,51,51,44,70,44,70,GK,Right,"189cm / 6'2""",83kg / 183lb,,32
76,68,75,86,67,89,68,CM,Right,"170cm / 5'7""",68kg / 150lb,CDM,29
88,81,91,85,79,69,64,ST,Right,"174cm / 5'9""",71kg / 157lb,,26
71,86,59,52,93,64,94,ST,Left,"191cm / 6'3""",94kg / 207lb,,31
65,75,34,57,86,80,84,CB,Right,"190cm / 6'3""",77kg / 170lb,,28
72,64,77,85,77,92,82,CM,Left,"178cm / 5'10""",68kg / 150lb,"CDM, RM",29
62,66,60,60,91,79,91,ST,Right,"189cm / 6'2""",90kg / 198lb,,29
84,85,82,76,76,86,61,RB,Right,"175cm / 5'9""",70kg / 154lb,,26
90,87,90,76,62,73,45,LW,Left,"176cm / 5'9""",71kg / 157lb,LM,20
54,60,67,69,73,77,66,CAM,Right,"185cm / 6'1""",76kg / 168lb,ST,35
88,92,74,66,94,88,85,ST,Right,"187cm / 6'2""",81kg / 179lb,,25
82,79,91,86,56,68,46,RM,Left,"184cm / 6'0""",73kg / 161lb,"RW, CAM",22
78,76,77,77,77,79,57,ST,Left,"181cm / 5'11""",79kg / 174lb,"LW, LM",27
55,68,63,50,75,76,84,CDM,Right,"185cm / 6'1""",77kg / 170lb,CM,31
83,77,82,84,76,92,65,CM,Right,"185cm / 6'1""",73kg / 161lb,"CDM, CAM",26
58,50,66,67,69,84,67,CM,Left,"189cm / 6'2""",70kg / 154lb,CDM,28
49,60,39,54,73,37,78,GK,Left,"187cm / 6'2""",90kg / 198lb,,30
72,74,85,77,86,86,80,CAM,Right,"188cm / 6'2""",77kg / 170lb,"CM, ST",24
83,76,90,90,57,75,47,LM,Right,"180cm / 5'11""",76kg / 168lb,"RM, LW",24
50,51,53,63,80,77,80,CB,Right,"188cm / 6'2""",84kg / 185lb,,32
74,74,82,67,90,68,83,ST,Left,"191cm / 6'3""",87kg / 192lb,,28
72,77,66,74,84,73,77,LB,Left,"181cm / 5'11""",75kg / 165lb,CB,29
86,82,86,92,80,88,70,CAM,Left,"172cm / 5'8""",74kg / 163lb,RM,27
40,66,50,37,80,66,84,CB,Right,"194cm / 6'4""",81kg / 179lb,,34
74,83,57,55,92,82,90,ST,Left,"195cm / 6'5""",94kg / 207lb,,28
83,76,86,58,81,74,75,RM,Left,"191cm / 6'3""",75kg / 165lb,"CAM, ST, RW",30
64,64,66,71,79,53,81,ST,Right,"182cm / 6'0""",86kg / 190lb,,37
60,78,34,44,79,52,93,CB,Right,"195cm / 6'5""",99kg / 218lb,RB,29
43,50,42,37,69,45,75,GK,Right,"189cm / 6'2""",84kg / 185lb,,34
86,89,78,70,85,83,78,LB,Left,"186cm / 6'1""",73kg / 161lb,,21
76,85,66,65,85,77,87,CB,Right,"186cm / 6'1""",90kg / 198lb,,25
81,93,59,49,89,74,84,CB,Left,"193cm / 6'4""",86kg / 190lb,,23
69,77,59,39,88,58,84,CB,Right,"191cm / 6'3""",81kg / 179lb,,31
93,94,77,62,95,88,84,RM,Right,"186cm / 6'1""",80kg / 176lb,"ST, RW",30
87,73,88,92,61,77,40,CAM,Right,"161cm / 5'3""",59kg / 130lb,LM,30
66,66,60,68,81,90,86,CDM,Right,"187cm / 6'2""",73kg / 161lb,CM,26
60,68,55,73,78,68,77,CB,Right,"182cm / 6'0""",79kg / 174lb,,29
61,75,62,58,84,79,85,CB,Right,"189cm / 6'2""",86kg / 190lb,RB,28
56,54,58,58,76,38,79,GK,Right,"195cm / 6'5""",94kg / 207lb,,31
78,74,78,76,71,74,63,RW,Left,"182cm / 6'0""",76kg / 168lb,"CM, RM",28
90,91,81,74,79,75,63,LB,Left,"175cm / 5'9""",69kg / 152lb,"RB, LM",20
68,66,68,76,74,81,72,CM,Right,"187cm / 6'2""",73kg / 161lb,CDM,27
86,84,87,88,73,80,59,LM,Right,"175cm / 5'9""",73kg / 161lb,"RM, LW",29
35,38,64,50,64,75,72,CDM,Right,"189cm / 6'2""",76kg / 168lb,"CM, CB",36
53,56,62,54,80,93,83,CM,Right,"186cm / 6'1""",80kg / 176lb,"CDM, CB",29
82,78,83,85,72,83,63,CAM,Right,"173cm / 5'8""",63kg / 139lb,"LM, RM",29
31,30,34,24,62,27,66,GK,Right,"191cm / 6'3""",91kg / 201lb,,30
68,76,79,80,79,79,70,RB,Right,"183cm / 6'0""",70kg / 154lb,"CB, RM",34
80,84,75,71,88,85,77,ST,Right,"175cm / 5'9""",70kg / 154lb,,24
79,76,82,65,89,78,75,ST,Right,"184cm / 6'0""",71kg / 157lb,LM,27
48,40,52,55,92,79,85,ST,Right,"189cm / 6'2""",86kg / 190lb,,34
80,71,89,88,73,94,68,CDM,Left,"169cm / 5'7""",62kg / 137lb,CM,31
79,77,84,84,70,76,70,CAM,Right,"178cm / 5'10""",67kg / 148lb,"CM, LM",26
67,70,70,75,75,90,77,CDM,Right,"185cm / 6'1""",74kg / 163lb,CM,25
80,80,77,76,77,81,63,CM,Right,"178cm / 5'10""",74kg / 163lb,CAM,24
63,58,67,65,62,91,67,CDM,Right,"181cm / 5'11""",80kg / 176lb,CM,32
70,76,71,72,71,94,73,CM,Right,"182cm / 6'0""",74kg / 163lb,"CAM, CDM",24
76,77,86,77,63,86,56,LM,Right,"178cm / 5'10""",69kg / 152lb,"CAM, LW",28
51,50,67,66,61,85,68,CDM,Right,"181cm / 5'11""",78kg / 172lb,CM,33
